subject,predicate,object,sentence
Janice Loeb,was,American film director,"Janice Loeb ( c. 1902-1913 to 1996 ) was American film director , screenwriter , cinematographer , producer known for In Street ( 1948 ) , The Quiet One ( 1949 ) The Stairs ( 1950 ) ."
Janice Loeb,was,American screenwriter,"Janice Loeb ( c. 1902-1913 to 1996 ) was American film director , screenwriter , cinematographer , producer known for In Street ( 1948 ) , The Quiet One ( 1949 ) The Stairs ( 1950 ) ."
Janice Loeb,was,American cinematographer,"Janice Loeb ( c. 1902-1913 to 1996 ) was American film director , screenwriter , cinematographer , producer known for In Street ( 1948 ) , The Quiet One ( 1949 ) The Stairs ( 1950 ) ."
Janice Loeb,was,American producer,"Janice Loeb ( c. 1902-1913 to 1996 ) was American film director , screenwriter , cinematographer , producer known for In Street ( 1948 ) , The Quiet One ( 1949 ) The Stairs ( 1950 ) ."
Janice Loeb,formed company with,Sidney Meyers,"Two years prior to The Quiet One release , Janice Loeb , as producer , formed company Film Documents with director Sidney Meyers , cinematographer Helen Levitt , co-producer William Levitt ."
Sidney Meyers,was,director,"Two years prior to The Quiet One release , Janice Loeb , as producer , formed company Film Documents with director Sidney Meyers , cinematographer Helen Levitt , co-producer William Levitt ."
Helen Levitt,was,cinematographer,"Two years prior to The Quiet One release , Janice Loeb , as producer , formed company Film Documents with director Sidney Meyers , cinematographer Helen Levitt , co-producer William Levitt ."
William Levitt,was,co-producer,"Two years prior to The Quiet One release , Janice Loeb , as producer , formed company Film Documents with director Sidney Meyers , cinematographer Helen Levitt , co-producer William Levitt ."
The Quiet One,is,1948 American documentary film,The Quiet One is 1948 American documentary film directed by Sidney Meyers .
The Quiet One,contains commentary written by,James Agee,"The Quiet One is 1948 American documentary film directed by Sidney Meyers . It chronicles rehabilitation of young , emotionally disturbed African-American boy it contains commentary written by James Agee ."
The Quiet One,is narrated by,Gary Merrill,"The Quiet One is 1948 American documentary film directed by Sidney Meyers . It chronicles rehabilitation of young , emotionally disturbed African-American boy it contains commentary written by James Agee ."
The Quiet One,contains work by,Helen Levitt,"The Quiet One is 1948 American documentary film directed by Sidney Meyers . It chronicles rehabilitation of young , emotionally disturbed African-American boy it contains commentary written by James Agee . The still photographer Helen Levitt was one of films cinematographers writers , along with painter Janice Loeb ."
The Quiet One,contains work by,Janice Loeb,"The Quiet One is 1948 American documentary film directed by Sidney Meyers . It chronicles rehabilitation of young , emotionally disturbed African-American boy it contains commentary written by James Agee . The still photographer Helen Levitt was one of films cinematographers writers , along with painter Janice Loeb ."
Ulysses Kay,wrote score for film,The Quiet One,The neoclassical composer Ulysses Kay wrote score for film .
Bosley Crowther,characterized film as,"The still photographer Helen Levitt was one of films cinematographers writers, along with painter Janice Loeb.","In his 1949 review , Bosley Crowther characterized film succinctly The still photographer Helen Levitt was one of films cinematographers writers, along with painter Janice Loeb."
Richard Bagley,was principle cinematographer,"The films principle cinematographer, Richard Bagley, also photographed critically acclaimed New York semidocumentary feature On Bowery.","In his 1949 review , Bosley Crowther characterized film succinctly The still photographer Helen Levitt was one of films cinematographers writers, along with painter Janice Loeb."
The Quiet One,named second best film of 1949,The National Board of Review named The Quiet One second best film of 1949.,"In his 1949 review , Bosley Crowther characterized film succinctly The still photographer Helen Levitt was one of films cinematographers writers, along with painter Janice Loeb."
Sidney Meyers,born in,"March 9, 1906","Sidney Meyers ( March 9 , 1906 – December 4 , 1969 ) , also known by pen name Robert Stebbins was American film director editor ."
Sidney Meyers,died in,"December 4, 1969","Sidney Meyers ( March 9 , 1906 – December 4 , 1969 ) , also known by pen name Robert Stebbins was American film director editor ."
Sidney Meyers,also known as,Robert Stebbins,"Sidney Meyers ( March 9 , 1906 – December 4 , 1969 ) , also known by pen name Robert Stebbins was American film director editor ."
Sidney Meyers,nominated for,Oscar for Best Original Screenplay,"Sidney Meyers is best known for two documentary films The Quiet One , which he wrote directed , for which he was nominated for Oscar for Best Original Screenplay British Academy of Film Television Arts winner The Savage Eye , which he co-directed , co-produced co-scripted with Joseph Strick Ben Maddow ."
The Quiet One,nominated for,Oscar for Best Original Screenplay,"Sidney Meyers is best known for two documentary films The Quiet One , which he wrote directed , for which he was nominated for Oscar for Best Original Screenplay British Academy of Film Television Arts winner The Savage Eye , which he co-directed , co-produced co-scripted with Joseph Strick Ben Maddow ."
The Savage Eye,nominated for,British Academy of Film Television Arts,"Sidney Meyers is best known for two documentary films The Quiet One , which he wrote directed , for which he was nominated for Oscar for Best Original Screenplay British Academy of Film Television Arts winner The Savage Eye , which he co-directed , co-produced co-scripted with Joseph Strick Ben Maddow ."
Alonso Mudarra,died in,"April 1, 1580","Alonso Mudarra ( c. 1510 – April 1 , 1580 ) was Spanish composer of Renaissance , also played vihuela , guitar- shaped string instrument ."
Alonso Mudarra,played,vihuela,"Alonso Mudarra ( c. 1510 – April 1 , 1580 ) was Spanish composer of Renaissance , also played vihuela , guitar- shaped string instrument ."
Alonso Mudarra,played,guitar-shaped string instrument,"Alonso Mudarra ( c. 1510 – April 1 , 1580 ) was Spanish composer of Renaissance , also played vihuela , guitar- shaped string instrument ."
Tarcisio Fusco,born in,unknown,Tarcisio Fusco was Italian composer of film scores .
Tarcisio Fusco,is brother of,Giovanni Fusco,Tarcisio Fusco was Italian composer of film scores . He was brother of composer Giovanni Fusco uncle of operatic soprano Cecilia Fusco .
Tarcisio Fusco,is uncle of,Cecilia Fusco,Tarcisio Fusco was Italian composer of film scores . He was brother of composer Giovanni Fusco uncle of operatic soprano Cecilia Fusco .
William I of Berg,born around,c. 1242,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
William I of Berg,died on,16 April 1308,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
William I of Berg,son of,Count Adolf VII of Berg,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
William I of Berg,successor of,Count Adolf VIII of Berg,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
William I of Berg,married to,Irmgard of Cleves,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
Irmgard of Cleves,died on,11 May 1319,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
William I of Berg,buried in,Berg family vault of Altenberg Cathedral,"William I of Berg ( c. 1242 – 16 April 1308 ) was son of Count Adolf VII of Berg of Margaret of Hochstaden . Upon death of his brother , Count Adolf VIII of Berg , William succeeded as Count of Berg . Formerly serving as monk , he was absolved of his religious vows by pope in order to take position ."
Adolf IX of Berg,son of,William I of Berg,"As William had no children , his nephew Adolf IX of Berg , son of his brother Henry of Berg , Lord of Windeck succeeded him as Count of Berg ."
William Irmgard,buried in,Berg family vault of Altenberg Cathedral,William Irmgard are buried in Berg family vault of Altenberg Cathedral .
William Irmgard,no children,Adolf IX of Berg succeeded him as Count of Berg,"As William had no children , his nephew Adolf IX of Berg , son of his brother Henry of Berg , Lord of Windeck succeeded him as Count of Berg ."
Adolf IX of Berg,eldest son of,"Henry of Berg, Lord of Windeck, Agnes of Mark","Adolf IX of Berg ( also referred to as Adolf VI ) ( c. 1280 – 3 April 1348 ) was eldest son of Henry of Berg , Lord of Windeck Agnes of Mark ."
Adolf IX of Berg,succeeded as,Count of Berg upon death of William I of Berg,Adolf succeeded as Count of Berg upon death of his uncle William I of Berg who had no children .
Adolf IX of Berg,lived between,c. 1280 and 3 April 1348,"Adolf IX of Berg ( also referred to as Adolf VI ) ( c. 1280 – 3 April 1348 ) was eldest son of Henry of Berg , Lord of Windeck Agnes of Mark ."
Adolf IX of Berg,married to,Agnes of Cleves,"In 1312 marriage to Agnes of Cleves , he received Rhine customs of Duisberg as dowry these were confirmed as imperial fief by Emperor Louis in 1314 ."
